iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,5,52,sin,67795,59,0.0005878217587962,0.0003028494247701019,True
2,3,100,sin,43726,78,0.0011849892511485,0.002370099537074566,True
3,6,88,sin,96222,61,0.0009215580407877,0.0019889904651790857,True
4,6,38,tanh,55403,85,0.0137954292981904,0.002466469304636121,True
5,5,71,sin,72575,200,0.0018418884222506,0.0005305304075591266,True
6,4,69,sin,85654,27,7.820852719338074e-05,0.0002541831345297396,True
7,5,64,sin,97882,10,0.0011308400992544,0.00011187249037902802,True
8,9,74,sin,100000,86,0.0016636799518437,0.0005398470093496144,True
9,7,92,sin,81436,38,0.0021947918490761,0.00275225518271327,True
10,5,80,swish,92945,167,0.0014704361609709,0.001338088302873075,True
11,3,39,sin,99297,17,0.0008778341562617214,0.005277288146317005,False
12,4,58,sin,72526,189,0.0011160287658271365,0.0016551784938201308,False
13,9,69,sin,81534,76,4.843650953537051e-05,9.926267375703901e-05,False
14,8,56,sin,89896,177,0.0008936428540408687,0.0006314158672466874,False
15,7,52,sin,50543,126,0.0009028135830308216,0.00048373203026130795,False
16,7,52,sin,50543,126,0.0031575028812289886,0.004066273104399443,False
17,9,69,sin,81534,76,0.0001808912235072496,6.979390309425071e-05,False
18,6,36,sin,90314,137,0.0009010881124172613,0.00041869806591421366,False
19,3,89,sin,75480,93,0.0008823382079387696,0.003402240574359894,False
20,6,78,sin,51197,47,0.0008024896038793523,0.0030058000702410936,False
21,9,40,sin,65692,173,4.748495325595699e-05,6.60171135677956e-05,False
22,9,42,tanh,81077,116,0.0008963927380769289,0.0022789088543504477,False
23,7,98,swish,58441,88,0.0009133645132126544,4.966018968843855e-05,False
24,7,98,swish,58441,88,0.001872684963145345,0.00030530919320881367,False
25,7,57,tanh,64735,167,4.694135271329427e-05,8.102950232569128e-05,False
26,7,27,tanh,61958,164,4.6896630216330205e-05,0.00015539406740572304,False
27,8,7,tanh,80629,171,0.0007371186815615877,0.00018409278709441423,False
28,8,30,swish,55993,162,0.0007471607590134758,0.000602473272010684,False
29,8,30,swish,55993,162,0.0028115797043778827,0.006841628812253475,False
30,6,36,sin,90314,137,3.395297692441794e-05,5.377443812903948e-05,False
31,7,62,tanh,61661,58,0.00076641012555681,0.0028110933490097523,False
32,7,98,swish,58441,88,0.0013222489096678034,0.0002783136733341962,False
33,5,5,sin,84714,189,4.7558597020072805e-05,0.00024348142324015498,False
34,7,9,swish,47808,154,3.749465453155629e-05,0.00022281694691628218,False
35,5,23,tanh,39754,156,0.0005068579032447192,0.00019696203526109457,False
36,4,43,swish,46157,143,0.000612351482532253,0.0001236476527992636,False
37,6,41,tanh,37201,92,4.454896695057201e-05,0.00024251632567029446,False
38,7,43,swish,30289,99,4.89195995229146e-05,6.868873606435955e-05,False
39,8,6,swish,28664,110,4.2706355172734506e-05,0.0004900485510006547,False
40,3,63,swish,22260,130,4.8501866939094374e-05,0.0003122261259704828,False
41,4,52,swish,9499,161,0.0006075536419713687,0.00014705203648190945,False
42,4,49,sigmoid,11469,163,0.0005911022188680523,0.0006088786176405847,False
43,3,70,sigmoid,43000,123,0.000620827992171697,0.0049735200591385365,False
44,6,33,sigmoid,8756,139,4.380385047939981e-05,0.09514667093753815,False
45,7,19,swish,73027,110,0.00040874706134538607,4.1175386286340654e-05,False
46,9,37,sin,42148,72,4.616907273665617e-05,0.00015185328084044158,False
47,2,40,tanh,74479,141,0.0008184846528008026,0.000343974243151024,False
48,5,12,swish,91416,137,0.000746284076243044,9.000187128549442e-05,False
49,9,34,tanh,61570,118,3.853492649137772e-05,0.00013048459368292242,False
50,4,67,tanh,88251,175,0.0005055008613758002,5.6664583098609e-05,False
