iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,7,11,tanh,47076,46,0.0314316645113961,0.3378463387489319,True
2,7,100,relu,50922,27,0.0122041432507613,0.09783755987882614,True
3,8,80,relu,72409,176,0.0016587443023398,0.10103227943181992,True
4,8,36,sigmoid,88721,103,0.0799511386790551,0.3378138542175293,True
5,9,53,relu,44901,102,0.0005500251881296,0.09178464859724045,True
6,3,24,sin,81977,169,0.0074979800600515,0.0002635133278090507,True
7,2,90,sin,63730,10,0.0090806812957729,0.004331145901232958,True
8,5,86,sin,14031,27,0.0119904925822004,0.33762508630752563,True
9,8,88,swish,75630,178,0.0126749105551364,0.3378456234931946,True
10,9,84,swish,66229,195,0.0045334507163831,0.3378022611141205,True
11,2,37,sin,83069,185,0.007208277344251189,0.0014630737714469433,False
12,2,40,tanh,74479,141,1e-05,0.004555908497422934,False
13,2,37,tanh,87986,53,1e-05,0.0023018731735646725,False
14,2,88,relu,97705,15,1e-05,0.09708712249994278,False
15,2,63,sin,99209,139,1e-05,0.010094650089740753,False
16,3,11,sigmoid,87745,123,1e-05,0.02325189858675003,False
17,2,50,relu,71235,125,1e-05,0.08350419253110886,False
18,3,39,sin,99297,17,1e-05,0.0007667530444450676,False
19,2,37,sin,83069,185,1e-05,0.019698407500982285,False
20,2,12,swish,92538,90,0.010835256307839687,0.001229038811288774,False
21,2,82,tanh,86818,82,1e-05,0.002130720764398575,False
22,3,13,tanh,73148,139,1e-05,0.0002425429120194167,False
23,6,5,tanh,99841,10,1e-05,0.00048663007328286767,False
24,2,12,swish,92538,90,1e-05,0.022872744128108025,False
25,6,37,sigmoid,90305,31,1.0672476836323728e-05,0.0006780757685191929,False
26,5,12,swish,91416,137,1e-05,9.40974714467302e-05,False
27,7,25,sigmoid,82149,84,1e-05,0.0008524453151039779,False
28,8,56,relu,81820,112,1e-05,0.08986928313970566,False
29,8,5,relu,46949,188,1e-05,0.10655855387449265,False
30,6,41,swish,77694,18,1e-05,5.597404015134089e-05,False
31,3,13,tanh,73148,139,0.0102360357538106,0.0005149764474481344,False
32,3,58,swish,99074,59,0.01765046841141898,8.800009527476504e-05,False
33,4,76,tanh,92487,24,0.006674701404009891,0.004005421418696642,False
34,2,65,swish,98610,110,0.02099002594146749,0.0002833236358128488,False
35,2,65,swish,98610,110,0.03689646293381009,0.00013714507804252207,False
36,3,58,swish,99074,59,0.030074002510373215,0.0019376687705516815,False
37,2,90,sigmoid,96792,80,0.1,0.0008692325209267437,False
38,2,90,sigmoid,96792,80,0.07007866484710092,0.00041081765084527433,False
39,2,94,relu,6917,148,0.1,0.33780625462532043,False
40,4,76,tanh,92487,24,0.03812846319567537,0.3379068970680237,False
41,2,73,relu,85642,190,0.07823789366005857,0.09182886779308319,False
42,5,5,sin,84714,189,1e-05,0.0001830143155530095,False
43,10,31,sin,97787,12,1.06612596894339e-05,8.387579873669893e-05,False
44,10,28,swish,88042,45,1e-05,0.0003030321386177093,False
45,9,8,sin,88807,164,1e-05,0.00011741511843865737,False
46,6,36,sin,90314,137,1e-05,4.7830300900386646e-05,False
47,10,21,sin,98070,161,1e-05,8.677716687088832e-05,False
48,4,90,sin,98468,78,1e-05,0.00021046717301942408,False
49,3,89,sin,75480,93,1e-05,0.0009435039828531444,False
50,9,46,sin,98105,36,1e-05,8.047449227888137e-05,False
