iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,5,52,sin,67795,59,0.0005878217587962,0.006242814008146524,True
2,3,100,sin,43726,78,0.0011849892511485,0.005548448301851749,True
3,6,88,sin,96222,61,0.0009215580407877,0.0031532549764961004,True
4,6,38,tanh,55403,85,0.0137954292981904,0.9427846074104309,True
5,5,71,sin,72575,200,0.0018418884222506,0.002728678286075592,True
6,4,69,sin,85654,27,7.820852719338074e-05,0.003893051529303193,True
7,5,64,sin,97882,10,0.0011308400992544,0.9493286609649658,True
8,9,74,sin,100000,86,0.0016636799518437,0.017635945230722427,True
9,7,92,sin,81436,38,0.0021947918490761,0.9316617846488953,True
10,5,80,swish,92945,167,0.0014704361609709,0.0020034697372466326,True
11,3,89,sin,75480,93,0.0009188017870860292,0.0047273472882807255,False
12,3,89,sin,75480,93,0.0005621524591041354,0.005027425941079855,False
13,4,90,sin,98468,78,0.0008800515092694936,0.0026797037571668625,False
14,4,58,sin,72526,189,0.0010463958710630029,0.0037859396543353796,False
15,4,67,sin,59268,105,0.0008929533573215614,0.002205676632001996,False
16,4,67,sin,59268,105,0.0031549547867347747,0.0025638360530138016,False
17,4,88,sin,50587,122,0.0010052936942696288,0.004240083508193493,False
18,7,52,sin,50543,126,0.0009175237964215957,0.00199006125330925,False
19,7,52,sin,50543,126,0.003505102894702502,0.002770941937342286,False
20,8,56,sin,89896,177,0.0009600726736854189,0.005016902927309275,False
21,6,36,sin,90314,137,0.0009274377338957221,0.0016869291430339217,False
22,9,40,sin,65692,173,4.841628279997507e-05,0.002702391939237714,False
23,2,63,sin,99209,139,0.0008856651158736077,0.2031676024198532,False
24,4,67,sin,59268,105,0.005709574592325048,0.01611665077507496,False
25,4,67,tanh,88251,175,0.0009400371962116731,0.0014062150148674846,False
26,3,57,tanh,68704,197,0.0009409754620363552,0.029508376494050026,False
27,7,57,tanh,64735,167,4.824671549015611e-05,0.002423997735604644,False
28,7,58,tanh,57995,63,0.0008709923115384593,0.0029118547681719065,False
29,9,42,tanh,81077,116,0.000878354085220974,0.0022313364315778017,False
30,9,34,tanh,61570,118,0.0008807151882682213,0.0020653901156038046,False
31,7,27,tanh,61958,164,4.8447572820158174e-05,0.0026418287307024,False
32,10,72,tanh,78794,118,0.000853284854518218,0.002933711977675557,False
33,6,41,tanh,37201,92,4.842199802496418e-05,0.005922502838075161,False
34,9,63,sin,33529,124,0.0010620578207975013,0.00261391862295568,False
35,9,37,sin,42148,72,4.860110327823365e-05,0.0048627243377268314,False
36,9,59,sin,18046,140,0.0009093392501695332,0.007957538589835167,False
37,9,43,swish,78340,175,0.0008948601061338365,0.0020375633612275124,False
38,8,30,swish,55993,162,0.0008604796478203763,0.0019247785676270723,False
39,9,41,swish,89651,113,4.871154182593112e-05,0.0020947339944541454,False
40,7,19,swish,73027,110,0.0008270364526312247,0.002954115392640233,False
41,6,48,tanh,31309,169,0.0010016903612435632,0.004746939986944199,False
42,4,43,swish,46157,143,0.0008928168358382054,0.0019354980904608965,False
43,7,43,swish,30289,99,0.0009999626307064845,0.0020944373682141304,False
44,2,67,swish,33251,67,4.589764308328955e-05,0.385334849357605,False
45,9,83,swish,98557,169,0.0005790783142476106,0.0035717806313186884,False
46,5,28,sigmoid,77369,172,0.0008331553451560821,0.001792087103240192,False
47,7,55,sin,57921,72,0.037459599313937546,0.9422520995140076,False
48,7,55,sin,57921,72,0.09552294422996369,3.4639317989349365,False
49,8,5,relu,46949,188,4.425489094264599e-05,0.4988022744655609,False
50,3,95,sin,11783,180,0.0007608446498213519,0.039239197969436646,False
