iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,9,70,tanh,56942,107,6.816907489642659e-05,0.0003137552412226796,True
2,6,28,sin,40201,54,0.0108104931621762,0.03731003776192665,True
3,7,65,sigmoid,100000,154,4.648190256792575e-05,0.005555995739996433,True
4,4,85,sin,100000,59,0.0005643533120828,0.0016003241762518883,True
5,7,74,sin,76494,59,0.0026055511576476,0.02181074395775795,True
6,7,62,swish,88839,135,0.0018307686093875,0.004988289438188076,True
7,6,88,swish,100000,154,0.0019021104450183,0.00012618770415429026,True
8,9,63,sin,92644,181,1e-05,0.0007290107314474881,True
9,8,5,sin,45839,97,0.0012369029421399,0.0004110254521947354,True
10,3,100,sin,60510,38,0.0024302924132421,0.004272760823369026,True
11,7,72,sin,81561,66,0.001074031853300733,0.000666820676997304,False
12,7,71,sin,96029,62,1e-05,0.0012543400516733527,False
13,8,79,sin,86715,58,1e-05,0.001544685335829854,False
14,7,54,sin,76220,47,0.004216190931920877,0.22274336218833923,False
15,7,72,sin,81561,67,0.001074031853300733,0.002680031815543771,False
16,7,76,sin,81561,67,0.001074031853300733,0.0006878712447360158,False
17,7,75,sin,96029,63,1e-05,0.0014444313710555434,False
18,8,83,sin,86715,59,1e-05,0.0006248337449505925,False
19,7,59,sin,79417,67,1e-05,0.0013763813767582178,False
20,7,72,sin,79996,66,0.001074031853300733,0.0004212839703541249,False
21,7,71,sin,94464,62,1e-05,0.0012674705358222127,False
22,8,79,sin,85150,58,1e-05,0.002874244237318635,False
23,7,54,sin,74655,47,0.004216190931920877,0.4364764988422394,False
24,7,73,sin,85130,55,1e-05,0.0009674328612163663,False
25,7,59,sin,77852,67,1e-05,0.0013427406083792448,False
26,7,73,sin,83565,55,1e-05,0.0009739254019223154,False
27,7,89,sin,69948,81,1e-05,0.0007991473539732397,False
28,7,54,sin,81866,80,0.0027875432969192483,0.005406293086707592,False
29,7,70,sin,73158,58,0.011644196993263673,49.8342170715332,False
30,3,5,sin,10525,12,0.0041048998586860055,0.4133855104446411,False
31,5,5,sin,22459,59,0.009487971105498328,0.00680393073707819,False
32,6,13,sin,73755,13,0.0014958841197985778,0.1677079200744629,False
33,4,56,tanh,42239,38,0.001074031853300733,0.008987732231616974,False
34,2,5,relu,5947,199,0.09985868964138181,0.7107387781143188,False
35,7,63,swish,90047,137,0.001074031853300733,0.0012563855852931738,False
36,6,86,swish,95422,154,0.001376021722773621,0.00024476763792335987,False
37,7,62,swish,100000,133,1e-05,0.0008214784902520478,False
38,7,63,swish,95209,137,0.001074031853300733,0.001362932613119483,False
39,7,46,sin,77276,38,0.003112689588082405,0.011843711137771606,False
40,7,63,swish,91278,135,0.0013226794010638464,0.0005985450698062778,False
41,8,70,swish,95201,129,1e-05,0.0012826962629333138,False
42,7,68,swish,95422,136,0.001074031853300733,0.001080752001143992,False
43,7,63,swish,90704,137,0.001074031853300733,0.01303405873477459,False
44,7,68,swish,90704,136,0.001074031853300733,0.0046182614751160145,False
45,7,67,swish,100000,132,1e-05,0.001083880546502769,False
46,8,75,swish,95858,128,1e-05,0.001569246407598257,False
47,7,50,swish,85363,117,0.004216190931920877,0.009487714618444443,False
48,7,49,sin,81561,60,0.0014958841197985778,0.0013162498362362385,False
49,7,49,sin,87941,95,0.001074031853300733,0.0005823094397783279,False
50,7,52,swish,87941,119,0.001074031853300733,0.0019090819405391812,False
