iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,7,11,tanh,47076,46,0.0314316645113961,0.9988360404968262,True
2,7,100,relu,50922,27,0.0122041432507613,1.2520277500152588,True
3,8,80,relu,72409,176,0.0016587443023398,1.3664448261260986,True
4,8,36,sigmoid,88721,103,0.0799511386790551,0.9987990856170654,True
5,9,53,relu,44901,102,0.0005500251881296,1.363807201385498,True
6,3,24,sin,81977,169,0.0074979800600515,0.17899267375469208,True
7,2,90,sin,63730,10,0.0090806812957729,2.252488374710083,True
8,5,86,sin,14031,27,0.0119904925822004,0.9978066086769104,True
9,8,88,swish,75630,178,0.0126749105551364,0.9987935423851013,True
10,9,84,swish,66229,195,0.0045334507163831,0.9987930059432983,True
11,2,37,sin,83069,185,0.0076774172659433764,0.996186375617981,False
12,3,13,tanh,73148,139,0.00749710229387388,0.042573727667331696,False
13,3,13,tanh,73148,139,1e-05,0.9961355328559875,False
14,3,13,tanh,73148,139,0.0063931637654119685,0.549127995967865,False
15,2,37,sin,83069,185,0.0010062878255805133,0.9960440397262573,False
16,2,40,tanh,74479,141,0.00017654048052495065,0.9854505658149719,False
17,5,5,sin,84714,189,6.876972589957656e-05,0.036834266036748886,False
18,6,36,sin,90314,137,0.00030956187491569656,0.0043449364602565765,False
19,8,56,sin,89896,177,0.00035232331631983115,0.018612300977110863,False
20,6,31,sin,72779,95,0.00718218072215181,0.02074565924704075,False
21,8,7,tanh,80629,171,0.000431456170430935,0.5455331206321716,False
22,9,8,sin,88807,164,0.0046798394497739385,0.027455298230051994,False
23,10,21,sin,98070,161,0.00267362614989041,0.01916176825761795,False
24,7,27,tanh,61958,164,0.00015176175972003884,0.030831938609480858,False
25,8,30,swish,55993,162,0.002792896510799226,0.03843999281525612,False
26,7,9,swish,47808,154,3.436061384470263e-05,0.5542620420455933,False
27,7,57,tanh,64735,167,7.068974950624601e-05,0.012729229405522346,False
28,9,34,tanh,61570,118,4.5639097160054444e-05,0.09515661746263504,False
29,9,42,tanh,81077,116,4.1058739502907646e-05,0.30427002906799316,False
30,9,41,swish,89651,113,0.00012557036943140683,0.0012548480881378055,False
31,10,72,tanh,78794,118,0.0008285684780165978,0.022284889593720436,False
32,10,94,swish,78509,139,0.0007291224814224635,0.01305373664945364,False
33,9,40,sin,65692,173,5.1257589079379305e-05,0.0033379909582436085,False
34,9,69,sin,81534,76,8.400384914559795e-05,0.0021766233257949352,False
35,8,6,sin,54115,137,0.0035124842843371295,0.1014857217669487,False
36,7,19,swish,73027,110,0.0012273630375458182,0.022990314289927483,False
37,8,56,relu,81820,112,0.0006071989493441297,1.3626492023468018,False
38,7,25,sigmoid,82149,84,2.246728002049986e-05,0.8565124273300171,False
39,9,43,swish,78340,175,0.0014425279864913939,0.020432909950613976,False
40,7,52,sin,50543,126,0.0035734061077162507,0.018158355727791786,False
41,9,63,sin,33529,124,0.0011215809482282007,0.03827427327632904,False
42,8,79,swish,49131,113,0.006796578090758151,0.9987976551055908,False
43,6,37,sigmoid,90305,31,1.0672476836323728e-05,0.9974555373191833,False
44,9,59,sin,18046,140,0.0012532726386250696,0.04978088289499283,False
45,10,53,swish,30658,179,1.536960311060885e-05,0.009779867716133595,False
46,4,59,sigmoid,36551,140,0.027527173929429386,0.05050363764166832,False
47,8,25,sin,85038,27,0.06245139574743064,1.7651538848876953,False
48,10,64,sin,7049,138,2.357279455676983e-05,0.9964310526847839,False
49,9,50,swish,17175,174,3.6671391963191384e-05,0.3256312608718872,False
50,9,66,tanh,22368,120,0.008023841556262278,0.35782667994499207,False
