iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,4,81,swish,74137,43,0.0010172168240181,1.0304256677627563,True
2,10,13,swish,27964,36,0.000120829115278,1.4429675340652466,True
3,5,59,sigmoid,57013,153,0.03497067495601,0.3539964556694031,True
4,9,50,relu,34365,61,1.341912135158796e-05,0.9620871543884277,True
5,8,43,sigmoid,98599,91,0.0060378888262044,0.18694435060024261,True
6,6,52,swish,55035,44,0.000346695780528,0.9151967167854309,True
7,7,21,tanh,13256,111,7.648785592457422e-05,0.9418540596961975,True
8,4,97,tanh,53117,154,2.3243640992726305e-05,0.7209128141403198,True
9,7,46,tanh,50116,19,0.0003182256077327,0.9756214618682861,True
10,8,10,tanh,9940,22,0.0002200793007197,1.036097764968872,True
11,8,45,sigmoid,100000,108,0.009624125763686327,0.1393827646970749,False
12,8,45,sigmoid,100000,113,0.010499236668068412,0.19965626299381256,False
13,8,47,sigmoid,100000,99,0.008235142856373452,0.16854369640350342,False
14,8,36,sigmoid,99757,103,0.008366410907701773,0.29343679547309875,False
15,8,44,sigmoid,96682,105,0.007597367999841443,0.150044783949852,False
16,5,59,sigmoid,57317,151,0.035788774500535595,0.7018969655036926,False
17,6,45,swish,37326,54,0.09115923934827125,1.0000019073486328,False
18,6,54,sigmoid,27743,62,0.08789409645383833,1.0000001192092896,False
19,6,44,tanh,25805,20,0.1,1.003238320350647,False
20,6,46,swish,42044,65,0.09123829583821075,1.0,False
21,6,39,swish,37398,58,0.06747341130196144,1.0,False
22,6,44,swish,46762,66,0.09115923934827125,1.0,False
23,6,48,swish,34168,65,0.0743112642379099,1.0,False
24,6,39,swish,29522,58,0.06747341130196144,1.0,False
25,8,42,sigmoid,99073,99,0.0062129524617535814,0.336181104183197,False
26,6,48,swish,31010,60,0.05730517614766954,1.0,False
27,6,48,swish,37326,65,0.09131735232815025,1.0,False
28,6,54,swish,27743,64,0.08789409645383833,1.0,False
29,6,48,swish,28372,70,0.09203559830856445,1.0,False
30,6,56,swish,27743,64,0.08789409645383833,1.0,False
31,6,53,swish,28372,70,0.09203559830856445,1.0278438329696655,False
32,6,53,sigmoid,27743,63,0.08789409645383833,0.9999999403953552,False
33,6,46,swish,26426,68,0.08770535349007347,1.0,False
34,6,54,sigmoid,27743,44,0.08789409645383833,1.0,False
35,6,48,swish,32896,30,0.02548590246535214,0.9999999403953552,False
36,6,45,swish,37326,59,0.09115923934827125,1.0,False
37,6,53,swish,27043,60,0.09209086957530294,1.0,False
38,6,44,tanh,25245,40,0.1,1.0000001192092896,False
39,7,47,swish,25500,56,0.07790748201272048,1.0,False
40,6,54,swish,27043,71,0.0925851757536453,1.0000052452087402,False
41,6,46,swish,38357,76,0.09159741882841785,1.0,False
42,6,39,swish,37398,67,0.06747341130196144,0.9999999403953552,False
43,6,44,swish,46762,67,0.09115923934827125,1.0,False
44,6,48,swish,29952,76,0.09203559830856445,0.9999999403953552,False
45,6,56,swish,27043,71,0.0925851757536453,4.101990222930908,False
46,6,53,swish,29952,76,0.09203559830856445,1.0,False
47,6,56,sigmoid,27043,74,0.0925851757536453,1.0,False
48,6,52,swish,31820,83,0.09372527971967581,1.0000067949295044,False
49,6,45,swish,37326,47,0.09115923934827125,1.0,False
50,6,54,sigmoid,27743,55,0.08750436922909505,1.0,False
