iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,5,52,sin,67795,59,0.0005878217587962,0.2790524661540985,True
2,3,100,sin,43726,78,0.0011849892511485,0.7697350978851318,True
3,6,88,sin,96222,61,0.0009215580407877,0.18329212069511414,True
4,6,38,tanh,55403,85,0.0137954292981904,1.0,True
5,5,71,sin,72575,200,0.0018418884222506,0.12414812296628952,True
6,4,69,sin,85654,27,7.820852719338074e-05,0.8737545609474182,True
7,5,64,sin,97882,10,0.0011308400992544,0.9839634895324707,True
8,9,74,sin,100000,86,0.0016636799518437,0.4678749740123749,True
9,7,92,sin,81436,38,0.0021947918490761,0.8945128321647644,True
10,5,80,swish,92945,167,0.0014704361609709,0.09360984712839127,True
11,4,58,sin,72526,189,0.001087793145018308,0.09659191966056824,False
12,4,58,sin,72526,189,4.152721245910293e-05,0.4771730601787567,False
13,3,89,sin,75480,93,0.0009196056600854457,0.7169862389564514,False
14,4,90,sin,98468,78,0.00092337559897847,0.08201461285352707,False
15,4,90,sin,98468,78,5.301929562889697e-05,0.007340916432440281,False
16,4,67,sin,59268,105,0.001166869474579192,0.6744001507759094,False
17,6,36,sin,90314,137,0.0009457607011226716,0.25385984778404236,False
18,8,56,sin,89896,177,0.0009308448952939695,0.15774081647396088,False
19,4,67,tanh,88251,175,0.0010207856757749772,0.08668792247772217,False
20,3,57,tanh,68704,197,0.0011830622588077013,0.800702691078186,False
21,7,52,sin,50543,126,0.0009320672698314722,0.5607838034629822,False
22,9,42,tanh,81077,116,0.0009187950533235694,0.6760477423667908,False
23,2,63,sin,99209,139,0.0009924269663239334,1.1538159847259521,False
24,2,65,swish,98610,110,0.0009729299574885256,0.9611238837242126,False
25,4,67,tanh,88251,175,3.9158518499098705e-05,0.6433959007263184,False
26,8,56,sin,89896,177,4.2113688865870496e-05,0.6023956537246704,False
27,6,36,sin,90314,137,4.0212244240404215e-05,0.6457548141479492,False
28,9,69,sin,81534,76,4.783731976709178e-05,0.6803261637687683,False
29,6,78,sin,51197,47,0.0009148498632085132,0.735283613204956,False
30,7,98,swish,58441,88,0.0009188750270453113,0.15606379508972168,False
31,7,98,swish,58441,88,0.001559981533773915,0.1661238968372345,False
32,5,61,tanh,76726,58,0.0009347985263670174,0.2676778733730316,False
33,7,62,tanh,61661,58,0.0009169081346992455,0.7480900287628174,False
34,5,61,tanh,76726,58,0.0020244364417129454,0.17945800721645355,False
35,5,61,tanh,76726,58,0.003030178402395111,0.23563280701637268,False
36,5,61,tanh,76726,58,0.004471510212030575,0.4846361577510834,False
37,6,31,sin,72779,95,0.0014407083556373986,0.3391011953353882,False
38,6,31,sin,72779,95,0.0031105700159064216,0.0810842216014862,False
39,6,31,sin,72779,95,0.003938512939667325,0.1695697158575058,False
40,6,31,sin,72779,95,0.005583008381911469,0.1761913150548935,False
41,6,31,sin,72779,95,0.0070335840637065754,0.2396431416273117,False
42,4,37,tanh,64383,19,0.0014775652936915664,0.9852414727210999,False
43,8,79,swish,49131,113,0.0010939892135484728,0.15223456919193268,False
44,8,79,swish,49131,113,0.0024817834219164063,0.12730881571769714,False
45,8,79,swish,49131,113,1.9877754353226907e-05,0.7562261819839478,False
46,8,79,swish,49131,113,0.0037715498464652147,1.0,False
47,7,19,swish,73027,110,0.000925788209469786,0.5840686559677124,False
48,9,83,swish,98557,169,0.0009357653468623671,0.12168522924184799,False
49,4,98,sin,88524,71,0.00038292082324810876,0.057133954018354416,False
50,4,98,sin,88524,71,0.0010958773329047822,0.07676385343074799,False
