iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,9,70,tanh,56942,107,6.816907489642659e-05,0.6857295632362366,True
2,6,28,sin,40201,54,0.0108104931621762,0.38767004013061523,True
3,7,65,sigmoid,100000,154,4.648190256792575e-05,0.09869605302810669,True
4,4,85,sin,100000,59,0.0005643533120828,0.025997208431363106,True
5,7,74,sin,76494,59,0.0026055511576476,0.18260562419891357,True
6,7,62,swish,88839,135,0.0018307686093875,0.07115165144205093,True
7,6,88,swish,100000,154,0.0019021104450183,0.0677904412150383,True
8,9,63,sin,92644,181,1e-05,0.11830847710371017,True
9,8,5,sin,45839,97,0.0012369029421399,0.7198942303657532,True
10,3,100,sin,60510,38,0.0024302924132421,0.4555914103984833,True
11,7,72,sin,81561,66,0.001074031853300733,0.08248461037874222,False
12,7,71,sin,96029,62,1e-05,0.05347253009676933,False
13,7,72,sin,84840,67,0.001074031853300733,0.1157367154955864,False
14,7,72,sin,79996,66,0.001074031853300733,0.09229179471731186,False
15,8,79,sin,86715,58,1e-05,0.03465346246957779,False
16,7,54,sin,76220,47,0.004216190931920877,0.5622462034225464,False
17,7,69,swish,90704,136,0.001074031853300733,0.0794438049197197,False
18,7,68,swish,90704,136,0.001074031853300733,0.11414006352424622,False
19,7,80,swish,87941,136,0.001074031853300733,0.07578985393047333,False
20,7,74,swish,90704,136,0.001074031853300733,0.08884909003973007,False
21,7,72,swish,84840,135,0.0013226794010638464,0.09702309966087341,False
22,7,76,sin,81561,67,0.001074031853300733,0.17620119452476501,False
23,7,71,swish,90704,136,0.001074031853300733,0.05723229795694351,False
24,7,71,swish,90047,136,0.001074031853300733,0.04087676480412483,False
25,7,72,swish,87941,136,0.001074031853300733,0.09364686906337738,False
26,7,69,sin,81561,66,0.001074031853300733,0.11802858114242554,False
27,7,70,swish,87941,135,0.0014958841197985778,0.08908604085445404,False
28,7,82,swish,84840,136,0.001074031853300733,0.14216925203800201,False
29,7,70,swish,84840,135,0.0014958841197985778,0.15106430649757385,False
30,7,70,swish,100000,132,1e-05,0.7020525336265564,False
31,8,78,swish,95201,128,1e-05,0.6785064339637756,False
32,7,72,swish,90047,137,0.001074031853300733,0.09583623707294464,False
33,7,72,swish,90047,123,0.001376021722773621,0.058942392468452454,False
34,7,72,swish,87941,127,0.001074031853300733,0.08609016984701157,False
35,7,72,swish,90704,130,0.001376021722773621,0.09139879792928696,False
36,7,78,swish,87941,130,0.0013226794010638464,0.12405690550804138,False
37,7,70,swish,90047,123,0.001376021722773621,0.0759282037615776,False
38,7,59,sin,79417,67,1e-05,0.011137533001601696,False
39,7,73,sin,85130,55,1e-05,0.012831558473408222,False
40,7,89,sin,71513,81,1e-05,0.24692071974277496,False
41,7,54,sin,83431,80,0.0027875432969192483,0.23074695467948914,False
42,7,72,sin,81561,56,0.001074031853300733,0.14325955510139465,False
43,7,69,sin,79996,86,0.001074031853300733,0.17593227326869965,False
44,7,70,swish,87941,136,0.001074031853300733,0.06404516845941544,False
45,7,81,swish,90704,137,0.001074031853300733,0.09846493601799011,False
46,6,85,swish,91154,149,0.001376021722773621,0.046057116240262985,False
47,6,85,swish,91154,149,0.0014958841197985778,0.08382928371429443,False
48,6,85,swish,91154,149,0.001074031853300733,0.08353529870510101,False
49,7,70,sin,74723,58,0.011644196993263673,1.0000001192092896,False
50,8,76,sin,84840,66,0.001074031853300733,0.3094211220741272,False
