iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,7,11,tanh,47076,46,0.0314316645113961,1.0007758140563965,True
2,7,100,relu,50922,27,0.0122041432507613,0.5129140615463257,True
3,8,80,relu,72409,176,0.0016587443023398,0.1296868622303009,True
4,8,36,sigmoid,88721,103,0.0799511386790551,0.9999998211860657,True
5,9,53,relu,44901,102,0.0005500251881296,0.09845397621393204,True
6,3,24,sin,81977,169,0.0074979800600515,0.5471419095993042,True
7,2,90,sin,63730,10,0.0090806812957729,1.1173762083053589,True
8,5,86,sin,14031,27,0.0119904925822004,0.9991602897644043,True
9,8,88,swish,75630,178,0.0126749105551364,1.0000544786453247,True
10,9,84,swish,66229,195,0.0045334507163831,0.1099385917186737,True
11,2,37,sin,83069,185,0.0016580396815631853,1.1323225498199463,False
12,6,84,relu,66642,173,0.0016421663082032175,0.07637423276901245,False
13,10,33,relu,53984,80,0.0004938623547724716,0.09633781760931015,False
14,10,68,swish,52605,200,0.0030314146481411758,0.16610433161258698,False
15,8,83,relu,44764,151,0.0004060924144085428,0.12924714386463165,False
16,8,68,relu,64638,85,1e-05,0.8949764966964722,False
17,8,83,relu,44764,151,0.010175417705222815,0.30623140931129456,False
18,9,80,sigmoid,34703,131,1e-05,0.9590222835540771,False
19,8,100,relu,49811,122,0.0012191290290877997,0.11458273977041245,False
20,8,100,relu,49811,122,0.008638036352686623,0.3161928057670593,False
21,5,73,sigmoid,48919,185,0.0001722371356762014,0.5915568470954895,False
22,9,38,swish,39911,97,1e-05,0.8514859080314636,False
23,7,84,relu,96906,157,1e-05,0.7261683344841003,False
24,9,43,swish,78340,175,1e-05,0.7400156855583191,False
25,8,96,sin,49262,199,0.0006190828102892464,0.16276483237743378,False
26,8,100,sin,60680,156,1e-05,0.07791917026042938,False
27,8,100,sin,60680,156,0.005894779794128162,0.9670591354370117,False
28,8,96,sin,49262,199,0.000167364016175293,0.4557640552520752,False
29,10,68,swish,52605,200,0.003580652828009677,1.0,False
30,8,56,relu,81820,112,0.0006071989493441297,0.10819049179553986,False
31,8,79,swish,49131,113,0.006796578090758151,1.0000001192092896,False
32,7,57,tanh,64735,167,7.068974950624601e-05,0.2675585150718689,False
33,8,96,sin,49262,199,1e-05,0.674367368221283,False
34,6,37,sigmoid,90305,31,1.0672476836323728e-05,0.9577112197875977,False
35,10,53,swish,30658,179,1.536960311060885e-05,0.7234859466552734,False
36,4,59,sigmoid,36551,140,0.027527173929429386,0.7480646967887878,False
37,8,25,sin,85038,27,0.06245139574743064,1.0,False
38,3,13,tanh,73148,139,0.005456725485601473,0.18809294700622559,False
39,8,48,relu,22159,184,4.936948694960462e-05,0.7897788882255554,False
40,2,40,tanh,74479,141,0.00017654048052495065,1.0104228258132935,False
41,7,58,tanh,57995,63,1.3342990285187938e-05,0.6800613403320312,False
42,3,94,sigmoid,70697,199,0.050890352978407064,0.3891165256500244,False
43,9,82,sigmoid,6016,199,0.0002001342062287997,0.8771177530288696,False
44,3,57,tanh,68704,197,0.0014817820606039076,0.12542641162872314,False
45,2,12,swish,92538,90,0.007004349545230058,0.9720792174339294,False
46,4,37,swish,43660,50,0.04569184576834543,1.0000001192092896,False
47,10,76,sigmoid,57256,57,0.0003042797205957132,0.7881713509559631,False
48,9,41,swish,89651,113,0.00012557036943140683,0.6843193769454956,False
49,4,69,swish,13110,140,0.01104435084712468,0.9219244122505188,False
50,8,18,swish,5206,24,2.7769194556163865e-05,1.002007007598877,False
