iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,4,81,swish,74137,43,0.0010172168240181,0.0020480642560869455,True
2,10,13,swish,27964,36,0.000120829115278,0.0027631574776023626,True
3,5,59,sigmoid,57013,153,0.03497067495601,0.0063268207013607025,True
4,9,50,relu,34365,61,1.341912135158796e-05,0.49439534544944763,True
5,8,43,sigmoid,98599,91,0.0060378888262044,0.0018668484408408403,True
6,6,52,swish,55035,44,0.000346695780528,0.0024061468429863453,True
7,7,21,tanh,13256,111,7.648785592457422e-05,0.014600143767893314,True
8,4,97,tanh,53117,154,2.3243640992726305e-05,0.002810115460306406,True
9,7,46,tanh,50116,19,0.0003182256077327,0.01906508579850197,True
10,8,10,tanh,9940,22,0.0002200793007197,0.030133819207549095,True
11,5,59,swish,70939,57,0.0015064451354255821,0.0022634565830230713,False
12,4,95,tanh,52466,130,0.00013078438211990164,0.0026949781458824873,False
13,4,94,tanh,48979,141,0.00033179618228211603,0.0020932776387780905,False
14,8,13,swish,82584,67,0.004055368123967476,0.002118195639923215,False
15,8,46,swish,99892,105,0.008904281133477264,0.9426657557487488,False
16,5,66,swish,67306,46,0.0009791253271588466,0.0023728148080408573,False
17,8,33,sigmoid,92318,72,0.003061478068263972,0.001820367295295,False
18,4,73,swish,72855,53,0.0015205183394358486,0.0023336950689554214,False
19,8,46,relu,98934,97,0.005387970985441068,0.4957182705402374,False
20,5,61,swish,67560,52,0.0011046397626457377,0.0023543303832411766,False
21,5,67,swish,73205,51,0.0015002231365148658,0.0022656824439764023,False
22,5,61,swish,70076,51,0.0017256718351100684,0.0022399332374334335,False
23,5,64,swish,70520,52,0.0011107630911139244,0.0022643934935331345,False
24,4,78,swish,72617,47,0.0019849543439617616,0.005690154619514942,False
25,4,76,swish,78057,49,0.0001138303949047331,0.004187900107353926,False
26,4,61,swish,71352,69,0.0016133462251983525,0.014356954954564571,False
27,8,5,swish,73450,56,0.003089806818794382,0.002909719478338957,False
28,6,34,swish,64859,58,0.002067363792941578,0.0019674808718264103,False
29,8,36,sigmoid,99533,74,0.006515396649144552,0.0016528648557141423,False
30,6,48,swish,56902,53,0.002099912243164372,0.003596463007852435,False
31,6,55,swish,48727,38,0.00032146006471373874,0.0025007319636642933,False
32,4,83,swish,60249,42,8.538666956577007e-05,0.0039062825962901115,False
33,5,56,sigmoid,59716,151,0.035777707900137054,0.007967572659254074,False
34,5,60,sigmoid,55966,152,0.033505142143649934,0.005106804426759481,False
35,5,58,sigmoid,56939,150,0.033505142143649934,0.0013767865020781755,False
36,5,46,sigmoid,49064,138,0.03216344901662217,0.0012458369601517916,False
37,6,52,sigmoid,89834,78,0.003863911411615009,0.00195832597091794,False
38,8,5,swish,86321,68,0.000484314135396746,0.0030892076902091503,False
39,8,8,swish,79386,55,0.008248747263680984,0.0024366157595068216,False
40,8,32,sigmoid,86275,91,0.0035660978408996145,0.001913796877488494,False
41,5,49,swish,70108,56,0.004181984441223457,0.0020470924209803343,False
42,7,21,tanh,14985,98,0.0006225389632341569,0.005102431867271662,False
43,5,82,swish,72268,49,0.00016518396247786418,0.0025329161435365677,False
44,7,25,tanh,19697,78,0.0006501426340023677,0.005306941922754049,False
45,5,55,sigmoid,37080,148,0.03925438224674513,0.003208208130672574,False
46,5,57,sigmoid,33577,152,0.042035216447776316,0.0013715086970478296,False
47,5,59,sigmoid,31387,157,0.046695285694912055,0.011502621695399284,False
48,5,51,sigmoid,70382,117,0.02208679889341215,0.001537316245958209,False
49,7,13,tanh,11774,87,0.0029879124450634073,0.0070232851430773735,False
50,5,73,tanh,54790,10,0.0003448475811706939,0.5714322924613953,False
