test_name,final_l1_ab_error,final_l1_re_error,final_l2_ab_error,final_l2_re_error,final_pde_loss,final_bc_loss,final_ic_loss,final_total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
helmholtz_2d_0,0.004116015508770943,0.0103638069704175,2.566822149674408e-05,0.010235114023089409,0.555108904838562,8.146445179590955e-05,0.0,0.595841109752655,250.60204362869263,3,40,sin,41752,43,0.0003442953106491
helmholtz_2d_1,0.017596879974007607,0.04430757462978363,0.00047142471885308623,0.043863266706466675,0.28423526883125305,4.666666791308671e-05,0.0,0.30756860971450806,559.8759250640869,3,95,tanh,90563,69,0.000230567007494
helmholtz_2d_2,0.06438487768173218,0.16211611032485962,0.0066966949962079525,0.16531987488269806,5.541316032409668,0.0009412545477971435,0.0,6.011943340301514,1286.4706010818481,6,19,swish,85216,187,0.0001842411804467
helmholtz_2d_3,0.3971528708934784,1.0,0.24502499401569366,1.0,6148.4892578125,0.0,0.0,6148.4892578125,2508.3379077911377,7,76,swish,59743,145,0.0111303463730186
helmholtz_2d_4,0.8067561388015747,2.0313491821289062,0.9829124808311462,2.0028674602508545,1128.97265625,0.35404548048973083,0.0,1305.995361328125,4162.317710876465,10,46,swish,56462,181,1.980500896568931e-05
helmholtz_2d_5,0.004939218983054161,0.01243656873703003,4.039609484607354e-05,0.012839984148740768,0.32349058985710144,0.0003250107984058559,0.0,0.4859960079193115,2235.1333916187286,9,91,swish,93620,56,0.0003465430528732
helmholtz_2d_6,0.7299439311027527,1.8379420042037964,0.8806874752044678,1.895857572555542,9.201382637023926,0.003495977958664298,0.0,10.949371337890625,159.34702444076538,3,19,sigmoid,27173,12,0.0974139822155868
helmholtz_2d_7,0.7790295481681824,1.9615356922149658,0.9289419651031494,1.94710373878479,215.35934448242188,0.07538790255784988,0.0,253.0532989501953,479.6687240600586,2,84,relu,78355,162,5.247955131525455e-05
helmholtz_2d_8,0.0346858985722065,0.08733639121055603,0.0018361923284828663,0.08656730502843857,4.0193328857421875,0.0005037457449361682,0.0,4.271205902099609,809.3211059570312,6,15,swish,45859,125,0.0001253250175418
helmholtz_2d_9,0.022320281714200974,0.05620073154568672,0.0007321885786950588,0.05466461181640625,4.8046555519104,0.0010725012980401516,0.0,5.340906143188477,818.8007624149323,8,31,sigmoid,33646,199,0.0108693872330151
helmholtz_2d_10,0.3972489535808563,1.0002418756484985,0.24503077566623688,1.0000118017196655,5763.99462890625,2.3128459361032583e-05,0.0,5764.00634765625,1003.8670554161072,10,9,relu,82065,26,0.0509460368461985
helmholtz_2d_11,0.5174862146377563,1.3029899597167969,0.4022637605667114,1.281298279762268,1152.2579345703125,0.3819250464439392,0.0,1343.220458984375,188.55988264083862,5,84,swish,8155,130,0.0002315887259497
