pde,model,total_loss,final_l2
pde1,m1,5.9299318309058435e-06,0.0007592294132336974
pde1,m2,0.0020175122190266848,0.0065458789467811584
pde1,m3,2.3507642254116945e-05,0.0025319315027445555
pde1,m4,4.740062286145985e-05,0.004481740761548281
pde1,m5,0.00017354761075694114,0.004120462108403444
pde1,m6,6.662814939772943e-06,0.0002144926693290472
pde1,m7,1.0060074600914959e-05,0.0011237848084419966
