test_name,final_l1_ab_error,final_l1_re_error,final_l2_ab_error,final_l2_re_error,final_pde_loss,final_bc_loss,final_ic_loss,final_total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
wave_2d_0,0.224069282412529,0.5028383731842041,0.07588187605142593,0.49279436469078064,7.394984277198091e-05,0.013416852802038193,0.0815349742770195,0.09502577781677246,273.1303811073303,3,40,sin,41752,43,0.0003442953106491
wave_2d_1,0.05131314694881439,0.11515285819768906,0.005318918731063604,0.13046930730342865,0.00020745881192851812,0.003827741602435708,0.0004295765538699925,0.004464777186512947,542.442743062973,3,95,tanh,90563,69,0.000230567007494
wave_2d_2,0.2211742401123047,0.4963415265083313,0.0734807476401329,0.48493492603302,0.0007036175229586661,0.014309459365904331,0.07083483785390854,0.08584791421890259,1305.3969271183014,6,19,swish,85216,187,0.0001842411804467
wave_2d_3,0.14507389068603516,0.3255632221698761,0.03325687721371651,0.3262401819229126,0.0001185718720080331,0.009626590646803379,0.007833736948668957,0.01757889986038208,2470.259879589081,7,76,swish,59743,145,0.0111303463730186
wave_2d_4,0.22668053209781647,0.5086982846260071,0.07794766873121262,0.4994572103023529,0.000199734146008268,0.011536452919244766,0.08358760923147202,0.09532379359006882,4091.649390935898,10,46,swish,56462,181,1.980500896568931e-05
wave_2d_5,0.18003657460212708,0.404023677110672,0.050813183188438416,0.4032597541809082,0.0020111207850277424,0.016729960218071938,0.013132196851074696,0.03187327831983566,2136.7305364608765,9,91,swish,93620,56,0.0003465430528732
wave_2d_6,0.14216481149196625,0.3190349042415619,0.03218477591872215,0.3209385871887207,0.00035961324465461075,0.007913811132311821,0.009584430605173111,0.017857855185866356,162.90276527404785,3,19,sigmoid,27173,12,0.0974139822155868
wave_2d_7,0.7677152156829834,1.7228450775146484,0.9141251444816589,1.7104072570800781,0.0,1.5804843656042067e-08,0.0005073199281468987,0.0005073357606306672,439.68867897987366,2,84,relu,78355,162,5.247955131525455e-05
wave_2d_8,0.22033657133579254,0.49446171522140503,0.07294466346502304,0.4831627905368805,0.0003209397254977375,0.01362656056880951,0.07438404113054276,0.08833154290914536,736.4518413543701,6,15,swish,45859,125,0.0001253250175418
wave_2d_9,0.5010707378387451,1.1244628429412842,0.36952170729637146,1.0874685049057007,1.251846604824935e-23,0.1213495060801506,0.3184903562068939,0.4398398697376251,776.8540079593658,8,31,sigmoid,33646,199,0.0108693872330151
wave_2d_10,0.4975173771381378,1.1164886951446533,0.3652656078338623,1.0811877250671387,0.0,0.11257025599479675,0.3193436563014984,0.43191391229629517,1106.1500811576843,10,9,relu,82065,26,0.0509460368461985
wave_2d_11,0.2262776792049408,0.5077942609786987,0.07756420969963074,0.4982271194458008,0.0004967987770214677,0.012331059202551842,0.0812382623553276,0.09406612068414688,187.6987748146057,5,84,swish,8155,130,0.0002315887259497
wave_2d_12,0.19495630264282227,0.4375053346157074,0.057969335466623306,0.43072083592414856,0.023860104382038116,0.017389941960573196,0.03202247992157936,0.07327252626419067,953.5468597412109,8,20,tanh,42356,192,0.0004457643374031
wave_2d_13,0.23294222354888916,0.5227503180503845,0.08580326288938522,0.5240208506584167,0.0047426591627299786,0.018523596227169037,0.034827664494514465,0.05809392035007477,1101.6309509277344,9,25,sin,65809,68,0.0015399967234343
wave_2d_14,0.49946072697639465,1.120849847793579,0.3675897419452667,1.0846219062805176,0.002988169202581048,0.11736556887626648,0.31859761476516724,0.4389513432979584,238.39873480796814,7,16,sin,19160,48,0.0882841843935834
wave_2d_15,0.16680395603179932,0.374328076839447,0.04400380700826645,0.37526825070381165,0.000556906801648438,0.01326808612793684,0.015916848555207253,0.029741842299699783,976.1025547981262,5,73,sigmoid,87782,113,3.136624269551213e-05
wave_2d_16,0.432268887758255,0.9700632691383362,0.28572991490364075,0.9562568068504333,0.0004694827657658607,0.12110476940870285,0.1499554067850113,0.2715296745300293,275.5242896080017,9,59,sigmoid,16465,59,5.978603708132954e-05
wave_2d_17,0.7716937065124512,1.7317732572555542,0.918839156627655,1.7148118019104004,0.0,5.957857496241559e-08,1.1537482350831851e-05,1.159706062026089e-05,1073.2306680679321,8,23,relu,95275,92,0.0037080153258158
wave_2d_18,0.15187892317771912,0.34083452820777893,0.036439817398786545,0.3414953351020813,0.00022553256712853909,0.009987679310142994,0.008769371546804905,0.01898258365690708,1210.3158564567566,6,70,swish,79262,40,0.0016988268340562
wave_2d_19,0.15271838009357452,0.34271836280822754,0.041522882878780365,0.3645360469818115,0.00017713541456032544,0.020816484466195107,0.005297424737364054,0.026291044428944588,782.0144193172455,4,18,sigmoid,92897,151,0.0016944154715722
wave_2d_20,0.24177773296833038,0.5425782203674316,0.0894622951745987,0.5350775122642517,2.935499833256472e-05,0.013859551399946213,0.08557194471359253,0.09946085512638092,300.81970500946045,2,89,swish,59855,130,0.0013455180805926
wave_2d_21,0.4295802712440491,0.9640296697616577,0.28149232268333435,0.949139416217804,0.0007009165128692985,0.12129195034503937,0.14015433192253113,0.2621471881866455,881.644012928009,7,7,sigmoid,64680,138,6.496304998863703e-05
wave_2d_22,0.23763617873191833,0.533284068107605,0.08640087395906448,0.5258426070213318,0.08280523121356964,0.011263793334364891,0.08814148604869843,0.1822105050086975,811.312103509903,9,78,swish,34730,32,0.0001576744387178
wave_2d_23,0.7248084545135498,1.6265571117401123,0.8537763357162476,1.6529844999313354,0.0,0.0007339200819842517,0.021983454003930092,0.022717373445630074,58.04964876174927,2,51,relu,14454,125,0.0001410268922152
wave_2d_24,0.14421509206295013,0.3236359655857086,0.03396470844745636,0.3296937048435211,0.00026447567506693304,0.013136123307049274,0.004010779317468405,0.017411379143595695,506.2968850135803,5,66,sin,55987,92,0.0003019565486771
wave_2d_25,0.7412710785865784,1.663501262664795,0.8725172877311707,1.6710278987884521,0.0,7.764718645830726e-08,2.182161006203387e-05,2.189925726270303e-05,746.5431945323944,9,85,relu,39128,119,0.0005181823400198
wave_2d_26,0.49979549646377563,1.1216011047363281,0.3679896295070648,1.0852117538452148,3.1910949577218517e-12,0.11818922311067581,0.31856009364128113,0.43674930930137634,434.88753604888916,7,41,sigmoid,32617,57,0.0152207537032514
wave_2d_27,0.18678148090839386,0.41916003823280334,0.053598131984472275,0.4141632318496704,0.0004505992983467877,0.009172707796096802,0.03109157644212246,0.04071488231420517,843.1572914123535,10,47,tanh,50914,26,0.0007193171879438
wave_2d_28,0.5008956789970398,1.1240700483322144,0.3693111836910248,1.0871586799621582,0.0,0.12091542780399323,0.3184884786605835,0.4394038915634155,221.5295958518982,8,80,relu,17814,148,0.0349777375224056
wave_2d_29,0.19977502524852753,0.44831913709640503,0.06015018746256828,0.4387480318546295,0.0015246529364958405,0.016085132956504822,0.04388905689120293,0.061498843133449554,600.078959941864,5,39,sigmoid,62105,119,3.34293621862884e-05
wave_2d_30,0.06363335996866226,0.14280089735984802,0.0072041586972773075,0.15184074640274048,0.0005392792518250644,0.004344434477388859,0.0007924929959699512,0.0056762066669762135,933.351065158844,5,98,sin,99643,52,6.44111201758058e-05
wave_2d_31,0.23658590018749237,0.5309271216392517,0.08540761470794678,0.5228113532066345,0.0015185970114544034,0.013984041288495064,0.07527769356966019,0.0907803326845169,530.0424184799194,3,55,swish,63669,94,0.058528107205006
wave_2d_32,0.23009571433067322,0.5163623690605164,0.08050243556499481,0.5075761675834656,0.0059388428926467896,0.011458268389105797,0.08405280113220215,0.10144991427659988,954.6330301761627,10,46,swish,39698,83,0.0001402348192226
wave_2d_33,0.7468562722206116,1.6760350465774536,0.8802022933959961,1.6783709526062012,0.0,1.2722065889647638e-07,1.1843929314636625e-05,1.1971150343015324e-05,317.91285705566406,10,64,relu,17947,178,0.0004363020857081
wave_2d_34,0.49987781047821045,1.1217857599258423,0.3680884838104248,1.0853575468063354,1776242655232.0,0.11842215061187744,1847.7581787109375,1776242655232.0,895.1359844207764,9,98,sin,57371,60,0.0073932643565288
wave_2d_35,0.4998053014278412,1.1216230392456055,0.3680013120174408,1.0852289199829102,0.0,0.11821416020393372,0.3186800479888916,0.4368942081928253,1026.194011926651,8,93,tanh,77506,59,0.0938675866434421
wave_2d_36,0.4916016459465027,1.1032130718231201,0.3586115539073944,1.0712944269180298,0.0007195285288617015,0.10364559292793274,0.297842800617218,0.4022079110145569,903.1487329006195,9,63,swish,36286,29,0.038512061179203
wave_2d_37,0.24073049426078796,0.5402281284332275,0.08849751949310303,0.5321845412254333,1.524799358776363e-06,0.014212923124432564,0.08945158123970032,0.1036660298705101,288.3951225280762,2,14,sin,65417,44,0.0001848350654143
wave_2d_38,0.16635587811470032,0.3733225464820862,0.04299595579504967,0.37094584107398987,0.001036912901327014,0.008824704214930534,0.018625924363732338,0.028487540781497955,125.86626744270325,4,32,tanh,16849,152,0.0044763665118443
wave_2d_39,0.5006540417671204,1.1235277652740479,0.36902278661727905,1.0867341756820679,528340804960256.0,0.1203412413597107,471.5337829589844,528340804960256.0,697.2433576583862,6,55,sin,60659,103,0.0674335458866373
