test_name,final_l1_ab_error,final_l1_re_error,final_l2_ab_error,final_l2_re_error,final_pde_loss,final_bc_loss,final_ic_loss,final_total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
convection_2d_27,0.32258141040802,0.5067067742347717,0.1586056500673294,0.5632020831108093,0.000132595538161695,1.7648444554652087e-05,3.076218126807362e-05,0.0001810061658034101,408.1159372329712,10,47,tanh,50914,26,0.0007193171879438
convection_2d_28,0.6366234421730042,1.0,0.5000231266021729,0.9999999403953552,0.0,0.0,0.49662163853645325,0.49662163853645325,128.34816145896912,8,80,relu,17814,148,0.0349777375224056
convection_2d_29,0.41446468234062195,0.6510358452796936,0.26497378945350647,0.7279580235481262,0.0008668806403875351,0.0238220002502203,0.0014975559897720814,0.026186436414718628,295.7436933517456,5,39,sigmoid,62105,119,3.34293621862884e-05
convection_2d_30,0.006946762092411518,0.010911885648965836,6.97351642884314e-05,0.011809480376541615,1.0902932444878388e-05,1.6319230780936778e-05,9.369140911985596e-07,2.8159076464362442e-05,503.51380348205566,5,98,sin,99643,52,6.44111201758058e-05
convection_2d_31,0.6366234421730042,1.0,0.5000232458114624,1.0,4.942558222393428e-19,4.359272625284196e-22,0.49468082189559937,0.49468082189559937,256.8788061141968,3,55,swish,63669,94,0.058528107205006
convection_2d_32,0.08320806920528412,0.1307021826505661,0.010807842947542667,0.14701932668685913,7.373043627012521e-05,0.0012879385612905025,6.441571895265952e-05,0.0014260847819969058,429.8432161808014,10,46,swish,39698,83,0.0001402348192226
convection_2d_33,0.05111153423786163,0.08028534799814224,0.003934573382139206,0.08870615065097809,0.0007665277807973325,0.00032907139393500984,7.16488721081987e-05,0.0011672480031847954,195.42898678779602,10,64,relu,17947,178,0.0004363020857081
convection_2d_34,0.6366234421730042,1.0,0.5000232458114624,1.0,8.95520636812197e-12,1.8912422709919933e-22,0.491666704416275,0.491666704416275,445.1600079536438,9,98,sin,57371,60,0.0073932643565288
convection_2d_35,0.6368815898895264,1.0004055500030518,0.5008041262626648,1.0007805824279785,0.0,0.0,0.49229368567466736,0.49229368567466736,530.4490036964417,8,93,tanh,77506,59,0.0938675866434421
convection_2d_36,0.6366234421730042,1.0,0.5000232458114624,1.0,0.0,0.0,0.48275861144065857,0.48275861144065857,334.68283319473267,9,63,swish,36286,29,0.038512061179203
